Date,Description,Amount,Type,Category
2025-01-07,Amazon Prime subscription,1499.0,Expense,Subscriptions
2025-01-07,Amazon Prime subscription,1499.0,Expense,Subscriptions
2025-01-07,Amazon Prime subscription,1499.0,Expense,Subscriptions
2025-01-07,Amazon Prime subscription,1499.0,Expense,Subscriptions
2025-01-07,Amazon Prime subscription,1499.0,Expense,Subscriptions
2025-01-07,Amazon Prime subscription,1499.0,Expense,Subscriptions
2025-01-07,Amazon Prime subscription,1499.0,Expense,Subscriptions
2025-01-07,Amazon Prime subscription,1499.0,Expense,Subscriptions
2025-01-07,Amazon Prime subscription,1499.0,Expense,Subscriptions
2025-01-07,Amazon Prime subscription,1499.0,Expense,Subscriptions
2025-01-07,Amazon Prime subscription,1499.0,Expense,Subscriptions
2025-01-07,Amazon Prime subscription,1499.0,Expense,Subscriptions
2025-01-07,Amazon Prime subscription,1499.0,Expense,Subscriptions
2025-01-07,Amazon Prime subscription,1499.0,Expense,Subscriptions
2025-01-07,Amazon Prime subscription,1499.0,Expense,Subscriptions
2025-01-07,Amazon Prime subscription,1499.0,Expense,Subscriptions
2025-01-07,Amazon Prime subscription,1499.0,Expense,Subscriptions
2025-01-07,Amazon Prime subscription,1499.0,Expense,Subscriptions
2025-01-07,Amazon Prime subscription,1499.0,Expense,Subscriptions
2025-01-07,Amazon Prime subscription,1499.0,Expense,Subscriptions
2025-01-07,Amazon Prime subscription,1499.0,Expense,Subscriptions
2025-01-07,Amazon Prime subscription,1499.0,Expense,Subscriptions
2025-01-07,Amazon Prime subscription,1499.0,Expense,Subscriptions
2025-01-07,Amazon Prime subscription,1499.0,Expense,Subscriptions
2025-01-07,Amazon Prime subscription,1499.0,Expense,Subscriptions
2025-01-07,Amazon Prime subscription,1499.0,Expense,Subscriptions
2025-01-07,Amazon Prime subscription,1499.0,Expense,Subscriptions
2025-01-07,Amazon Prime subscription,1499.0,Expense,Subscriptions
2025-01-07,Amazon Prime subscription,1499.0,Expense,Subscriptions
2025-01-07,Amazon Prime subscription,1499.0,Expense,Subscriptions
2025-01-07,Amazon Prime subscription,1499.0,Expense,Subscriptions
2025-01-07,Amazon Prime subscription,1499.0,Expense,Subscriptions
2025-01-07,Amazon Prime subscription,1499.0,Expense,Subscriptions
2025-01-07,Amazon Prime subscription,1499.0,Expense,Subscriptions
2025-01-07,Amazon Prime subscription,1499.0,Expense,Subscriptions
2025-01-07,Amazon Prime subscription,1499.0,Expense,Subscriptions
2025-01-07,Amazon Prime subscription,1499.0,Expense,Subscriptions
2025-01-07,Amazon Prime subscription,1499.0,Expense,Subscriptions
2025-01-07,Amazon Prime subscription,1499.0,Expense,Subscriptions
2025-01-07,Amazon Prime subscription,1499.0,Expense,Subscriptions
2025-01-07,Amazon Prime subscription,1499.0,Expense,Subscriptions
2025-01-07,Amazon Prime subscription,1499.0,Expense,Subscriptions
2025-01-07,Amazon Prime subscription,1499.0,Expense,Subscriptions
2025-01-07,Amazon Prime subscription,1499.0,Expense,Subscriptions
2025-01-07,Amazon Prime subscription,1499.0,Expense,Subscriptions
2025-01-07,Amazon Prime subscription,1499.0,Expense,Subscriptions
2025-01-07,Amazon Prime subscription,1499.0,Expense,Subscriptions
2025-01-07,Amazon Prime subscription,1499.0,Expense,Subscriptions
2025-01-07,Amazon Prime subscription,1499.0,Expense,Subscriptions
2025-01-07,Amazon Prime subscription,1499.0,Expense,Subscriptions
2025-01-07,Amazon Prime subscription,1499.0,Expense,Subscriptions
2025-01-07,Amazon Prime subscription,1499.0,Expense,Subscriptions
2025-01-07,Amazon Prime subscription,1499.0,Expense,Subscriptions
